film,userid,score
《冲上云霄》 , 1196  ,  9.1
《爱情魔发师》 , 1305  ,  4.9
《天将雄师》 , 1109  ,  5.7
《破风》 , 1380  ,  6.9
《紫霞》 , 1201  ,  5.2
《闯入者》 , 1050  ,  8.4
《分手再说我爱你》 , 1119  ,  8.6
《分手再说我爱你》 , 1322  ,  6.1
《探灵档案》 , 1085  ,  8.6
《破风》 , 1202  ,  9.3
《坏蛋必须死》 , 1045  ,  5.8
《前任2：备胎反击战》 , 1486  ,  5.0
《简单爱》 , 1194  ,  7.0
《恶棍天使》 , 1274  ,  7.1
《怦然星动》 , 1012  ,  4.7
《冲上云霄》 , 1167  ,  8.2
《简单爱》 , 1425  ,  5.2
《将错就错》 , 1340  ,  3.4
《万物生长》 , 1402  ,  5.6
《探灵档案》 , 1150  ,  5.2
《探灵档案》 , 1317  ,  8.5
《万物生长》 , 1292  ,  5.2
《浪漫天降》 , 1035  ,  8.8
《探灵档案》 , 1119  ,  3.6
《怦然星动》 , 1209  ,  9.0
《一念天堂》 , 1215  ,  9.3
《恶棍天使》 , 1167  ,  3.9
《一念天堂》 , 1389  ,  6.0
《破风》 , 1302  ,  3.9
《将错就错》 , 1114  ,  7.2
《怦然星动》 , 1411  ,  5.0
《一念天堂》 , 1386  ,  6.4
《坏蛋必须死》 , 1172  ,  8.2
《恶棍天使》 , 1198  ,  4.4
《浪漫天降》 , 1223  ,  7.7
《坏蛋必须死》 , 1407  ,  7.6
《既然青春留不住》 , 1191  ,  3.8
《将错就错》 , 1433  ,  5.1
《分手再说我爱你》 , 1161  ,  4.8
《闯入者》 , 1208  ,  5.0
《既然青春留不住》 , 1380  ,  4.3
《分手再说我爱你》 , 1454  ,  8.4
《坏蛋必须死》 , 1225  ,  9.1
《将错就错》 , 1377  ,  5.0
《怦然星动》 , 1470  ,  9.2
《闯入者》 , 1124  ,  3.7
《将错就错》 , 1111  ,  6.2
《闯入者》 , 1388  ,  8.4
《浪漫天降》 , 1499  ,  4.5
《紫霞》 , 1174  ,  7.1
《闯入者》 , 1276  ,  9.1
《爱情魔发师》 , 1474  ,  6.2
《冲上云霄》 , 1122  ,  9.2
《闯入者》 , 1339  ,  5.7
《失孤》 , 1305  ,  5.3
《爱情魔发师》 , 1178  ,  9.5
《紫霞》 , 1389  ,  9.3
《一念天堂》 , 1059  ,  4.8
《一念天堂》 , 1274  ,  9.7
《简单爱》 , 1124  ,  7.8
《分手再说我爱你》 , 1293  ,  9.1
《浪漫天降》 , 1389  ,  9.8
《最美的时候遇见你》 , 1246  ,  4.1
《少年班》 , 1116  ,  3.9
《失孤》 , 1205  ,  7.7
《冲上云霄》 , 1014  ,  6.2
《分手再说我爱你》 , 1293  ,  4.8
《闯入者》 , 1014  ,  8.7
《既然青春留不住》 , 1200  ,  6.6
《分手再说我爱你》 , 1406  ,  3.3
《将错就错》 , 1347  ,  4.5
《万物生长》 , 1492  ,  9.2
《坏蛋必须死》 , 1345  ,  6.7
《紫霞》 , 1047  ,  5.7
《紫霞》 , 1231  ,  9.5
《前任2：备胎反击战》 , 1161  ,  8.8
《既然青春留不住》 , 1214  ,  8.4
《爱情魔发师》 , 1231  ,  8.3
《怦然星动》 , 1462  ,  4.8
《坏蛋必须死》 , 1007  ,  4.5
《少年班》 , 1012  ,  6.2
《失孤》 , 1047  ,  7.4
《万物生长》 , 1116  ,  4.9
《分手再说我爱你》 , 1014  ,  8.4
《分手再说我爱你》 , 1174  ,  3.9
《恶棍天使》 , 1162  ,  7.2
《冲上云霄》 , 1113  ,  4.2
《失孤》 , 1241  ,  5.6
《一路惊喜》 , 1264  ,  3.9
《怦然星动》 , 1206  ,  5.3
《既然青春留不住》 , 1180  ,  6.8
《一念天堂》 , 1159  ,  5.6
《万物生长》 , 1315  ,  4.8
《恶棍天使》 , 1015  ,  4.2
《坏蛋必须死》 , 1444  , 10.0
《怦然星动》 , 1176  ,  3.1
《既然青春留不住》 , 1068  ,  4.2
《紫霞》 , 1236  ,  4.1
《闯入者》 , 1378  ,  7.6
《怦然星动》 , 1047  ,  4.9
《冲上云霄》 , 1129  ,  5.3
《万物生长》 , 1374  ,  8.4
《破风》 , 1209  ,  9.5
《一路惊喜》 , 1374  ,  8.1
《前任2：备胎反击战》 , 1086  ,  6.0
《冲上云霄》 , 1169  ,  5.3
《简单爱》 , 1139  ,  8.5
《最美的时候遇见你》 , 1267  , 10.0
《浪漫天降》 , 1176  ,  9.8
《简单爱》 , 1067  ,  4.4
《简单爱》 , 1205  ,  9.2
《分手再说我爱你》 , 1218  ,  8.9
《闯入者》 , 1318  ,  6.0
《恶棍天使》 , 1128  ,  6.9
《简单爱》 , 1194  ,  4.8
《紫霞》 , 1454  ,  7.8
《怦然星动》 , 1473  ,  9.2
《既然青春留不住》 , 1492  ,  9.0
《既然青春留不住》 , 1152  ,  4.4
《破风》 , 1226  ,  6.8
《一路惊喜》 , 1152  ,  6.1
《少年班》 , 1190  ,  5.7
《一念天堂》 , 1080  ,  6.1
《将错就错》 , 1488  ,  3.1
《探灵档案》 , 1473  ,  9.1
《分手再说我爱你》 , 1206  ,  5.7
《一念天堂》 , 1473  ,  4.5
《既然青春留不住》 , 1085  ,  3.1
《少年班》 , 1488  ,  9.0
《怦然星动》 , 1124  ,  5.2
《前任2：备胎反击战》 , 1241  ,  7.3
《冲上云霄》 , 1124  ,  7.4
《简单爱》 , 1403  ,  7.1
《一路惊喜》 , 1125  ,  9.1
《怦然星动》 , 1026  ,  5.0
《天将雄师》 , 1453  ,  9.4
《闯入者》 , 1322  ,  9.7
《失孤》 , 1492  ,  6.5
《一路惊喜》 , 1296  ,  7.2
《前任2：备胎反击战》 , 1263  ,  6.9
《一念天堂》 , 1142  ,  4.7
《失孤》 , 1125  ,  3.6
《爱情魔发师》 , 1042  ,  5.7
《浪漫天降》 , 1289  ,  8.5
《天将雄师》 , 1209  ,  9.1
《分手再说我爱你》 , 1194  ,  7.5
《恶棍天使》 , 1025  ,  5.7
《坏蛋必须死》 , 1386  ,  9.5
《将错就错》 , 1169  ,  8.6
《将错就错》 , 1456  ,  9.9
《最美的时候遇见你》 , 1075  ,  3.7
《前任2：备胎反击战》 , 1334  ,  4.8
《怦然星动》 , 1190  ,  4.6
《分手再说我爱你》 , 1117  ,  6.4
《紫霞》 , 1450  ,  5.3
《冲上云霄》 , 1191  ,  6.7
《恶棍天使》 , 1469  ,  6.2
《紫霞》 , 1343  ,  5.9
《将错就错》 , 1215  ,  9.5
《最美的时候遇见你》 , 1093  ,  4.3
《分手再说我爱你》 , 1169  ,  4.6
《爱情魔发师》 , 1065  ,  7.2
《浪漫天降》 , 1190  ,  4.2
《一路惊喜》 , 1152  ,  9.4
《分手再说我爱你》 , 1022  ,  6.9
《一念天堂》 , 1318  ,  5.7
《分手再说我爱你》 , 1100  ,  5.0
《闯入者》 , 1454  ,  6.0
《万物生长》 , 1068  ,  9.3
《坏蛋必须死》 , 1380  ,  6.2
《破风》 , 1065  ,  4.4
《一念天堂》 , 1205  ,  8.5
《最美的时候遇见你》 , 1123  ,  6.2
《冲上云霄》 , 1152  ,  3.6
《探灵档案》 , 1065  ,  6.0
《怦然星动》 , 1391  ,  8.3
《失孤》 , 1059  ,  3.7
《冲上云霄》 , 1236  ,  4.5
《爱情魔发师》 , 1084  ,  5.8
《怦然星动》 , 1075  ,  4.2
《紫霞》 , 1321  ,  9.1
《坏蛋必须死》 , 1407  ,  8.5
《爱情魔发师》 , 1176  ,  7.4
《万物生长》 , 1088  ,  6.7
《浪漫天降》 , 1080  ,  7.2
《破风》 , 1455  ,  9.4
《最美的时候遇见你》 , 1359  ,  9.2
《将错就错》 , 1048  ,  9.0
《坏蛋必须死》 , 1386  ,  4.4
《怦然星动》 , 1453  ,  3.2
《前任2：备胎反击战》 , 1071  ,  4.9
《一路惊喜》 , 1161  ,  6.2
《天将雄师》 , 1013  ,  8.2
《失孤》 , 1400  ,  3.4
《爱情魔发师》 , 1455  ,  7.8
《探灵档案》 , 1499  ,  9.8
《坏蛋必须死》 , 1169  ,  3.1
《一路惊喜》 , 1206  ,  4.4
《坏蛋必须死》 , 1453  ,  8.5
《前任2：备胎反击战》 , 1447  ,  8.2
《破风》 , 1241  ,  4.5
《浪漫天降》 , 1037  ,  8.8
《爱情魔发师》 , 1466  ,  7.2
《少年班》 , 1216  ,  3.1
《坏蛋必须死》 , 1313  ,  5.2
《怦然星动》 , 1042  ,  4.8
《前任2：备胎反击战》 , 1339  ,  5.0
《失孤》 , 1263  ,  3.1
《失孤》 , 1473  ,  5.0
《最美的时候遇见你》 , 1236  ,  9.1
《失孤》 , 1320  ,  5.7
《万物生长》 , 1462  ,  8.8
《紫霞》 , 1313  ,  9.7
《爱情魔发师》 , 1318  ,  5.9
《万物生长》 , 1487  ,  4.5
《闯入者》 , 1318  ,  9.7
《闯入者》 , 1276  ,  3.1
《恶棍天使》 , 1389  ,  8.5
《将错就错》 , 1200  ,  5.3
《万物生长》 , 1345  ,  4.6
《破风》 , 1340  ,  4.5
《破风》 , 1074  ,  3.6
《恶棍天使》 , 1270  ,  3.9
《恶棍天使》 , 1268  ,  4.3
《破风》 , 1057  ,  7.5
《浪漫天降》 , 1394  ,  5.2
《既然青春留不住》 , 1283  ,  6.0
《怦然星动》 , 1380  ,  4.5
《简单爱》 , 1142  ,  3.9
《爱情魔发师》 , 1111  ,  3.2
《失孤》 , 1345  ,  7.3
《简单爱》 , 1476  ,  8.8
《闯入者》 , 1274  ,  4.8
《万物生长》 , 1302  ,  5.6
《破风》 , 1406  ,  8.5
《失孤》 , 1102  ,  9.3
《一路惊喜》 , 1315  ,  5.7
《万物生长》 , 1047  ,  6.4
《破风》 , 1085  ,  9.1
《万物生长》 , 1085  ,  3.7
《闯入者》 , 1321  ,  3.6
《破风》 , 1047  ,  6.8
《最美的时候遇见你》 , 1152  ,  9.1
《简单爱》 , 1293  ,  4.6
《浪漫天降》 , 1035  ,  6.8
《既然青春留不住》 , 1357  ,  6.2
《怦然星动》 , 1050  ,  5.9
《简单爱》 , 1021  ,  9.7
《将错就错》 , 1491  ,  6.3
《爱情魔发师》 , 1141  ,  5.7
《浪漫天降》 , 1469  ,  4.2
《坏蛋必须死》 , 1447  ,  8.6
《坏蛋必须死》 , 1079  ,  8.3
《闯入者》 , 1123  ,  6.7
《一念天堂》 , 1116  ,  4.3
《最美的时候遇见你》 , 1456  ,  6.3
《最美的时候遇见你》 , 1196  ,  8.5
《坏蛋必须死》 , 1407  ,  9.3
《最美的时候遇见你》 , 1473  ,  9.8
《爱情魔发师》 , 1359  ,  9.1
《分手再说我爱你》 , 1176  ,  6.2
《天将雄师》 , 1444  ,  6.2
《最美的时候遇见你》 , 1403  ,  6.4
《紫霞》 , 1215  ,  5.7
《恶棍天使》 , 1345  ,  8.7
《最美的时候遇见你》 , 1276  ,  7.2
《一路惊喜》 , 1324  ,  9.4
《爱情魔发师》 , 1152  ,  9.0
《恶棍天使》 , 1324  ,  4.3
《最美的时候遇见你》 , 1079  ,  3.7
《将错就错》 , 1407  ,  7.8
《分手再说我爱你》 , 1091  ,  9.0
《一路惊喜》 , 1367  ,  3.1
《坏蛋必须死》 , 1469  ,  7.5
《紫霞》 , 1178  ,  3.6
《天将雄师》 , 1374  ,  5.6
《天将雄师》 , 1339  ,  6.2
《探灵档案》 , 1014  ,  5.2
《天将雄师》 , 1474  ,  3.8
《一路惊喜》 , 1129  ,  4.4
《最美的时候遇见你》 , 1246  ,  6.0
《闯入者》 , 1177  ,  6.2
《既然青春留不住》 , 1403  ,  5.6
《怦然星动》 , 1377  ,  9.0
《一念天堂》 , 1174  ,  7.0
《既然青春留不住》 , 1499  ,  3.1
《既然青春留不住》 , 1268  ,  9.1
《恶棍天使》 , 1201  ,  3.1
《前任2：备胎反击战》 , 1280  ,  8.2
《一路惊喜》 , 1470  ,  9.0
《简单爱》 , 1454  ,  6.8
《最美的时候遇见你》 , 1318  ,  6.0
《坏蛋必须死》 , 1395  ,  8.3
《一念天堂》 , 1045  ,  4.4
《坏蛋必须死》 , 1167  ,  4.7
《冲上云霄》 , 1395  ,  8.2
《怦然星动》 , 1010  ,  4.4
《冲上云霄》 , 1263  ,  4.7
《探灵档案》 , 1004  ,  4.9
《一念天堂》 , 1118  ,  6.2
《爱情魔发师》 , 1178  ,  5.4
《一念天堂》 , 1080  ,  6.8
《失孤》 , 1113  ,  8.9
《最美的时候遇见你》 , 1233  ,  8.3
《坏蛋必须死》 , 1359  ,  7.0
《简单爱》 , 1102  ,  5.3
《最美的时候遇见你》 , 1455  ,  9.4
《冲上云霄》 , 1291  ,  9.0
《爱情魔发师》 , 1339  ,  3.9
《一路惊喜》 , 1206  ,  7.0
《爱情魔发师》 , 1259  ,  3.2
《少年班》 , 1172  ,  6.2
《天将雄师》 , 1178  ,  7.6
《少年班》 , 1125  ,  6.5
《冲上云霄》 , 1026  ,  7.8
《闯入者》 , 1474  ,  9.3
《少年班》 , 1360  ,  6.4
《怦然星动》 , 1268  ,  8.2
《万物生长》 , 1119  ,  4.9
《闯入者》 , 1339  ,  6.0
《破风》 , 1085  ,  7.9
《坏蛋必须死》 , 1067  ,  3.8
《一念天堂》 , 1129  ,  3.6
《一念天堂》 , 1159  ,  5.6
《天将雄师》 , 1012  ,  5.6
《破风》 , 1169  ,  5.7
《少年班》 , 1178  ,  6.4
《破风》 , 1433  ,  6.2
《分手再说我爱你》 , 1191  ,  5.4
《一路惊喜》 , 1086  ,  3.7
《闯入者》 , 1174  ,  9.1
《恶棍天使》 , 1013  , 10.0
《少年班》 , 1086  ,  3.1
《失孤》 , 1095  ,  4.4
《爱情魔发师》 , 1289  ,  4.6
《破风》 , 1074  ,  5.2
《少年班》 , 1123  ,  5.3
《万物生长》 , 1423  ,  7.3
《破风》 , 1313  ,  9.1
《破风》 , 1377  ,  6.3
《坏蛋必须死》 , 1374  , 10.0
《冲上云霄》 , 1394  ,  9.3
《万物生长》 , 1367  ,  6.0
《怦然星动》 , 1263  ,  6.9
《一路惊喜》 , 1177  ,  5.3
《浪漫天降》 , 1343  ,  9.2
《万物生长》 , 1492  ,  4.6
《万物生长》 , 1240  ,  8.5
《将错就错》 , 1394  ,  4.5
《简单爱》 , 1015  ,  6.8
《破风》 , 1174  ,  8.1
《冲上云霄》 , 1200  ,  9.4
《失孤》 , 1021  ,  3.7
《浪漫天降》 , 1021  ,  8.0
《探灵档案》 , 1447  ,  8.9
《探灵档案》 , 1321  ,  6.2
《浪漫天降》 , 1343  ,  8.7
《失孤》 , 1267  ,  4.4
《少年班》 , 1343  ,  5.6
《既然青春留不住》 , 1474  ,  8.4
《前任2：备胎反击战》 , 1072  ,  3.4
《简单爱》 , 1499  ,  4.4
《简单爱》 , 1111  ,  7.9
《少年班》 , 1068  ,  3.6
《怦然星动》 , 1406  ,  5.4
《将错就错》 , 1104  ,  3.9
《前任2：备胎反击战》 , 1499  ,  9.4
《一念天堂》 , 1122  ,  4.3
《分手再说我爱你》 , 1219  ,  4.2
《浪漫天降》 , 1385  ,  5.6
《破风》 , 1487  ,  7.0
《简单爱》 , 1184  ,  5.7
《天将雄师》 , 1208  ,  8.5
《既然青春留不住》 , 1453  ,  4.7
《探灵档案》 , 1388  ,  8.3
《紫霞》 , 1374  ,  3.6
《破风》 , 1122  ,  4.7
《紫霞》 , 1403  ,  4.8
《紫霞》 , 1014  ,  7.2
《爱情魔发师》 , 1252  ,  9.0
《一念天堂》 , 1340  ,  7.2
《既然青春留不住》 , 1252  ,  6.0
《万物生长》 , 1491  ,  9.0
《少年班》 , 1109  ,  8.5
《浪漫天降》 , 1091  ,  4.3
《既然青春留不住》 , 1035  ,  7.4
《少年班》 , 1172  ,  4.3
《冲上云霄》 , 1091  ,  6.2
《既然青春留不住》 , 1339  ,  3.6
《分手再说我爱你》 , 1022  ,  3.7
《一路惊喜》 , 1240  ,  6.2
《简单爱》 , 1091  ,  5.2
《简单爱》 , 1021  ,  8.7
《简单爱》 , 1028  ,  6.3
《闯入者》 , 1385  ,  6.4
《紫霞》 , 1093  ,  3.9
《一念天堂》 , 1130  ,  5.2
《闯入者》 , 1311  ,  9.7
《失孤》 , 1114  ,  5.3
《坏蛋必须死》 , 1109  ,  5.8
《怦然星动》 , 1206  ,  7.5
《一念天堂》 , 1321  ,  6.5
《探灵档案》 , 1291  ,  7.1
《万物生长》 , 1130  ,  7.0
《将错就错》 , 1119  ,  3.7
《最美的时候遇见你》 , 1291  ,  6.4
《简单爱》 , 1080  ,  8.2
《一路惊喜》 , 1202  ,  7.7
《简单爱》 , 1386  ,  6.8
《前任2：备胎反击战》 , 1048  ,  5.0
《冲上云霄》 , 1215  ,  6.7
《分手再说我爱你》 , 1236  ,  6.0
《失孤》 , 1014  ,  4.4
《爱情魔发师》 , 1388  ,  8.2
《失孤》 , 1198  ,  8.1
《将错就错》 , 1357  ,  7.3
《恶棍天使》 , 1292  ,  7.2
《紫霞》 , 1010  ,  6.7
《失孤》 , 1223  ,  8.4
《最美的时候遇见你》 , 1214  ,  7.2
《简单爱》 , 1250  ,  4.3
《一路惊喜》 , 1152  ,  8.9
《将错就错》 , 1317  ,  4.4
《爱情魔发师》 , 1176  ,  6.9
《最美的时候遇见你》 , 1259  ,  6.8
《万物生长》 , 1010  ,  4.5
《一念天堂》 , 1114  ,  4.3
《少年班》 , 1402  ,  4.5
《紫霞》 , 1152  ,  9.2
《一路惊喜》 , 1139  ,  9.3
《将错就错》 , 1359  ,  4.4
《爱情魔发师》 , 1091  ,  3.5
《浪漫天降》 , 1418  ,  9.8
《最美的时候遇见你》 , 1499  ,  8.6
《破风》 , 1264  ,  3.8
《简单爱》 , 1268  ,  3.7
《探灵档案》 , 1241  ,  9.3
《少年班》 , 1100  ,  7.2
《浪漫天降》 , 1315  ,  3.9
《将错就错》 , 1022  ,  5.9
《万物生长》 , 1263  ,  7.9
《紫霞》 , 1080  ,  4.9
《一念天堂》 , 1418  ,  6.4
《坏蛋必须死》 , 1006  ,  9.1
《前任2：备胎反击战》 , 1359  ,  4.5
《万物生长》 , 1102  ,  5.9
《简单爱》 , 1085  ,  9.3
《既然青春留不住》 , 1172  ,  8.9
《分手再说我爱你》 , 1324  ,  5.0
《简单爱》 , 1246  ,  5.6
《冲上云霄》 , 1209  ,  8.9
《坏蛋必须死》 , 1124  ,  8.2
《冲上云霄》 , 1386  ,  5.1
《既然青春留不住》 , 1317  ,  8.5
《破风》 , 1093  ,  4.7
《简单爱》 , 1428  ,  5.8
《闯入者》 , 1324  ,  6.9
《紫霞》 , 1178  ,  3.7
《最美的时候遇见你》 , 1381  ,  7.2
《破风》 , 1025  ,  9.5
《天将雄师》 , 1388  ,  4.5
《分手再说我爱你》 , 1263  ,  8.0
《浪漫天降》 , 1411  ,  8.0
《最美的时候遇见你》 , 1411  ,  6.8
《分手再说我爱你》 , 1258  ,  7.2
《破风》 , 1233  ,  6.9
《破风》 , 1447  ,  4.8
《紫霞》 , 1109  ,  9.3
《将错就错》 , 1381  ,  3.7
《少年班》 , 1188  ,  8.2
《分手再说我爱你》 , 1425  ,  8.5
《坏蛋必须死》 , 1200  ,  5.0
《万物生长》 , 1167  ,  9.8
《破风》 , 1270  ,  6.3
《既然青春留不住》 , 1128  ,  4.2
《将错就错》 , 1206  ,  3.7
《恶棍天使》 , 1402  ,  5.3
《恶棍天使》 , 1345  ,  4.3
《探灵档案》 , 1316  ,  6.8
《闯入者》 , 1267  ,  3.4
《前任2：备胎反击战》 , 1198  ,  3.4
《一念天堂》 , 1196  ,  7.0
《万物生长》 , 1235  ,  8.1
《既然青春留不住》 , 1344  ,  3.7
《浪漫天降》 , 1026  ,  3.6
《怦然星动》 , 1059  ,  7.0
《闯入者》 , 1360  ,  6.1
《分手再说我爱你》 , 1385  ,  8.4
《简单爱》 , 1004  ,  5.4
《少年班》 , 1174  ,  6.1
《紫霞》 , 1047  ,  7.3
《前任2：备胎反击战》 , 1209  ,  3.7
《万物生长》 , 1313  ,  8.3
《一路惊喜》 , 1320  ,  8.7
《少年班》 , 1129  ,  8.8
《将错就错》 , 1302  ,  5.7
《既然青春留不住》 , 1291  ,  6.1
《一念天堂》 , 1045  ,  5.8
《前任2：备胎反击战》 , 1172  ,  6.6
《天将雄师》 , 1474  ,  6.5
《天将雄师》 , 1202  ,  5.3
《将错就错》 , 1411  ,  6.8
《闯入者》 , 1259  ,  6.1
《冲上云霄》 , 1240  ,  8.2
《闯入者》 , 1428  ,  7.9
《既然青春留不住》 , 1339  ,  6.2
《分手再说我爱你》 , 1259  ,  4.3
《分手再说我爱你》 , 1292  ,  6.6
《一路惊喜》 , 1035  ,  5.0
《冲上云霄》 , 1172  ,  5.8
《万物生长》 , 1154  ,  3.1
《前任2：备胎反击战》 , 1167  ,  6.6
《将错就错》 , 1139  ,  9.7
《冲上云霄》 , 1380  ,  5.0
《一路惊喜》 , 1468  ,  6.0
《恶棍天使》 , 1292  ,  7.5
《前任2：备胎反击战》 , 1012  ,  8.4
《爱情魔发师》 , 1194  ,  3.6
《怦然星动》 , 1116  ,  3.0
《最美的时候遇见你》 , 1378  ,  8.7
《怦然星动》 , 1209  ,  6.6
《既然青春留不住》 , 1006  ,  5.0
《少年班》 , 1334  ,  4.8
《冲上云霄》 , 1377  ,  8.2
《既然青春留不住》 , 1142  ,  7.0
《一念天堂》 , 1270  ,  5.0
《恶棍天使》 , 1162  ,  3.1
《闯入者》 , 1343  ,  6.4
《探灵档案》 , 1015  ,  6.8
《破风》 , 1142  ,  8.3
《简单爱》 , 1079  ,  5.4
《分手再说我爱你》 , 1345  ,  4.2
《前任2：备胎反击战》 , 1250  ,  8.1
《既然青春留不住》 , 1142  ,  5.7
《一念天堂》 , 1388  ,  6.9
《爱情魔发师》 , 1250  , 10.0
《既然青春留不住》 , 1374  ,  7.4
《冲上云霄》 , 1172  ,  5.0
《失孤》 , 1316  ,  6.4
《怦然星动》 , 1118  ,  4.3
《浪漫天降》 , 1209  ,  5.7
《恶棍天使》 , 1235  ,  7.6
《怦然星动》 , 1447  ,  4.5
《简单爱》 , 1374  ,  4.4
《冲上云霄》 , 1340  ,  9.5
《一路惊喜》 , 1021  ,  4.8
《破风》 , 1374  ,  9.5
《将错就错》 , 1098  ,  5.3
《一念天堂》 , 1428  ,  8.9
《失孤》 , 1293  ,  6.4
《失孤》 , 1343  ,  9.3
《失孤》 , 1347  ,  3.6
《天将雄师》 , 1201  ,  5.2
《一路惊喜》 , 1067  ,  4.5
《爱情魔发师》 , 1198  ,  7.9
《探灵档案》 , 1318  ,  8.4
《紫霞》 , 1433  ,  3.5
《少年班》 , 1492  ,  4.6
《一念天堂》 , 1184  ,  6.7
《分手再说我爱你》 , 1368  ,  8.4
《天将雄师》 , 1057  ,  4.8
《失孤》 , 1074  ,  6.2
《万物生长》 , 1154  ,  9.4
《少年班》 , 1103  ,  7.7
《闯入者》 , 1013  ,  5.2
《破风》 , 1293  ,  7.7
《一路惊喜》 , 1072  ,  3.7
《一路惊喜》 , 1455  ,  3.4
《简单爱》 , 1198  ,  4.8
《冲上云霄》 , 1380  ,  4.2
《怦然星动》 , 1233  ,  3.8
《分手再说我爱你》 , 1215  ,  7.6
《紫霞》 , 1402  ,  6.2
《紫霞》 , 1048  ,  3.7
《少年班》 , 1344  ,  8.0
《紫霞》 , 1001  ,  5.3
《怦然星动》 , 1198  ,  4.8
《一念天堂》 , 1028  ,  5.0
《闯入者》 , 1201  ,  3.9
《万物生长》 , 1113  ,  8.2
《将错就错》 , 1444  ,  9.7
《前任2：备胎反击战》 , 1104  ,  8.7
《一念天堂》 , 1274  ,  6.0
《万物生长》 , 1462  ,  6.9
《分手再说我爱你》 , 1359  ,  4.8
《紫霞》 , 1050  ,  3.9
《恶棍天使》 , 1093  ,  4.3
《冲上云霄》 , 1086  ,  4.9
《少年班》 , 1169  ,  9.1
《将错就错》 , 1488  ,  3.7
《分手再说我爱你》 , 1123  ,  8.2
《失孤》 , 1317  ,  4.6
《坏蛋必须死》 , 1095  ,  9.7
《坏蛋必须死》 , 1313  ,  7.4
《闯入者》 , 1103  ,  4.2
《少年班》 , 1359  ,  9.0
《探灵档案》 , 1196  ,  7.8
《闯入者》 , 1444  ,  6.0
《怦然星动》 , 1169  ,  3.6
《探灵档案》 , 1125  ,  4.4
《既然青春留不住》 , 1141  ,  6.9
《少年班》 , 1444  ,  8.6
《前任2：备胎反击战》 , 1378  ,  5.0
《闯入者》 , 1453  ,  7.2
《一路惊喜》 , 1403  ,  5.0
《爱情魔发师》 , 1291  ,  8.3
《将错就错》 , 1057  ,  5.0
《最美的时候遇见你》 , 1418  ,  9.0
《分手再说我爱你》 , 1150  ,  7.4
《爱情魔发师》 , 1190  ,  4.7
《失孤》 , 1129  ,  7.6
《怦然星动》 , 1086  ,  4.2
《分手再说我爱你》 , 1488  ,  8.2
《既然青春留不住》 , 1068  ,  5.0
《分手再说我爱你》 , 1208  ,  7.9
《分手再说我爱你》 , 1161  ,  3.7
《爱情魔发师》 , 1098  ,  7.5
《闯入者》 , 1042  ,  9.1
《浪漫天降》 , 1263  ,  5.0
《将错就错》 , 1320  ,  4.2
《坏蛋必须死》 , 1219  ,  7.1
《前任2：备胎反击战》 , 1079  ,  8.3
《既然青春留不住》 , 1345  ,  7.1
《将错就错》 , 1111  ,  6.0
《分手再说我爱你》 , 1191  ,  9.1
《万物生长》 , 1240  ,  4.3
《紫霞》 , 1006  ,  4.6
《浪漫天降》 , 1258  ,  5.9
《爱情魔发师》 , 1098  ,  5.0
《万物生长》 , 1068  ,  4.2
《浪漫天降》 , 1395  ,  6.4
《冲上云霄》 , 1486  ,  6.6
《将错就错》 , 1104  ,  8.4
《紫霞》 , 1406  ,  3.7
《前任2：备胎反击战》 , 1363  ,  7.2
《冲上云霄》 , 1343  ,  5.6
《怦然星动》 , 1469  ,  3.1
《爱情魔发师》 , 1391  ,  9.1
《爱情魔发师》 , 1368  ,  9.9
《既然青春留不住》 , 1231  ,  8.1
《天将雄师》 , 1469  ,  3.0
《一念天堂》 , 1470  ,  5.3
《探灵档案》 , 1291  ,  5.6
《恶棍天使》 , 1450  ,  7.6
《爱情魔发师》 , 1004  ,  9.4
《坏蛋必须死》 , 1315  ,  6.5
《破风》 , 1080  ,  4.3
《最美的时候遇见你》 , 1357  ,  5.9
《浪漫天降》 , 1129  ,  3.3
《分手再说我爱你》 , 1116  ,  9.3
《紫霞》 , 1098  ,  3.1
《坏蛋必须死》 , 1469  ,  4.8
《简单爱》 , 1291  ,  4.8
《坏蛋必须死》 , 1315  ,  6.6
《闯入者》 , 1320  ,  3.6
《失孤》 , 1194  ,  6.3
《前任2：备胎反击战》 , 1259  ,  8.6
《恶棍天使》 , 1385  ,  4.4
《最美的时候遇见你》 , 1357  ,  7.5
《既然青春留不住》 , 1223  ,  6.0
《冲上云霄》 , 1072  ,  6.6
《恶棍天使》 , 1268  ,  3.9
《前任2：备胎反击战》 , 1456  ,  9.1
《冲上云霄》 , 1074  ,  5.6
《最美的时候遇见你》 , 1334  ,  3.0
《浪漫天降》 , 1433  ,  8.6
《坏蛋必须死》 , 1154  ,  7.1
《一路惊喜》 , 1231  ,  4.9
《前任2：备胎反击战》 , 1395  ,  8.8
《失孤》 , 1233  ,  4.3
《既然青春留不住》 , 1345  ,  6.6
《前任2：备胎反击战》 , 1320  ,  9.7
《失孤》 , 1057  ,  7.3
《天将雄师》 , 1167  ,  7.5
《探灵档案》 , 1226  ,  6.2
《一念天堂》 , 1231  ,  9.7
《失孤》 , 1045  ,  6.0
《分手再说我爱你》 , 1380  ,  6.4
《紫霞》 , 1263  ,  3.2
《坏蛋必须死》 , 1343  ,  6.5
《一路惊喜》 , 1482  ,  9.1
《探灵档案》 , 1045  ,  6.2
